Name,Team,Salary
David Stockton,Los Angeles Lakers,"$1,378,242"
Zhou Qi,Houston Rockets,"$1,378,242"
Aaron Jackson,Houston Rockets,"$1,378,242"
Ike Anigbogu,New Orleans Pelicans,"$1,378,242"
Carmelo Anthony,Portland Trail Blazers,"$1,364,204"
Jabari Bird,Atlanta Hawks,"$1,349,464"
Ben Moore,San Antonio Spurs,"$1,349,383"
James Nunnally,New Orleans Pelicans,"$1,349,383"
Kevin Porter Jr.,Cleveland Cavaliers,"$1,290,960"
Carsen Edwards,Boston Celtics,"$1,228,026"
Cody Martin,Charlotte Hornets,"$1,173,310"
Gary Payton II,Washington Wizards,"$1,052,909"
Nick Young,Denver Nuggets,"$1,042,584"
Admiral Schofield,Washington Wizards,"$1,000,000"
Terance Mann,LA Clippers,"$1,000,000"
Ron Baker,Washington Wizards,"$948,580"
David Nwaba,Brooklyn Nets,"$903,111"
Jalen McDaniels,Charlotte Hornets,"$898,310"
Dewan Hernandez,Toronto Raptors,"$898,310"
Talen Horton-Tucker,Los Angeles Lakers,"$898,310"
Stanton Kidd,Utah Jazz,"$898,310"
KZ Okpala,Miami Heat,"$898,310"
Terence Davis,Toronto Raptors,"$898,310"
Ignas Brazdeikis,New York Knicks,"$898,310"
Miye Oni,Utah Jazz,"$898,310"
Nic Claxton,Brooklyn Nets,"$898,310"
Naz Reid,Minnesota Timberwolves,"$898,310"
Eric Paschall,Golden State Warriors,"$898,310"
Jalen Lecque,Phoenix Suns,"$898,310"
Caleb Martin,Charlotte Hornets,"$898,310"
Alen Smailagic,Golden State Warriors,"$898,310"
Justin Robinson,Washington Wizards,"$898,310"
Vlatko Cancar,Denver Nuggets,"$898,310"
Daniel Gafford,Chicago Bulls,"$898,310"
Max Strus,Chicago Bulls,"$898,310"
Matt Thomas,Toronto Raptors,"$898,310"
Javonte Green,Boston Celtics,"$898,310"
Justin James,Sacramento Kings,"$898,310"
Damion Lee,Golden State Warriors,"$842,327"
Isaiah Briscoe,Orlando Magic,"$838,464"
Juwan Morgan,Utah Jazz,"$746,054"
Marquese Chriss,Golden State Warriors,"$654,469"
Timothe Luwawu-Cabarrot,Brooklyn Nets,"$654,469"
Marvin Williams,Milwaukee Bucks,"$604,278"
Michael Kidd-Gilchrist,Dallas Mavericks,"$595,122"
Rayjon Tucker,Utah Jazz,"$578,573"
Chris Clemons,Houston Rockets,"$563,347"
Gary Clark,Orlando Magic,"$555,409"
Brandon Goodwin,Atlanta Hawks,"$522,738"
DeMarre Carroll,Houston Rockets,"$512,721"
Reggie Jackson,LA Clippers,"$512,721"
Anzejs Pasecniks,Washington Wizards,"$482,144"
Chris Silva,Miami Heat,"$466,918"
Jeff Green,Houston Rockets,"$439,475"
Troy Daniels,Denver Nuggets,"$384,541"
Dion Waiters,Los Angeles Lakers,"$375,385"
Juan Toscano-Anderson,Golden State Warriors,"$350,189"
Norvel Pelle,Philadelphia 76ers,"$350,189"
Ky Bowman,Golden State Warriors,"$350,189"
