PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Name,Salary
1517,2004-05,00,1610612758,SAC,32.0,25,0,536.0,109,255,0.427,33,96,0.344,50,58,0.862,23,62,85,59,14,2,28,58,301,Bobby Jackson,"$3,150,000"
2039,2004-05,00,1610612748,MIA,25.0,74,0,1184.0,139,345,0.403,19,75,0.253,85,109,0.78,11,79,90,132,39,11,65,120,382,Keyon Dooling,"$3,073,000"
2041,2004-05,00,1610612764,WAS,27.0,47,10,976.0,128,255,0.502,0,0,0.0,76,144,0.528,85,159,244,20,17,51,50,133,332,Etan Thomas,"$3,043,000"
965,2004-05,00,1610612744,GSW,30.0,74,32,2223.0,297,755,0.393,108,291,0.371,175,203,0.862,38,180,218,301,76,4,129,176,877,Derek Fisher,"$3,000,000"
248,2004-05,00,1610612740,NOH,34.0,44,27,934.0,68,189,0.36,11,37,0.297,17,23,0.739,55,119,174,88,32,12,57,83,164,George Lynch,"$3,000,000"
2043,2004-05,00,1610612760,SEA,27.0,14,0,66.0,5,14,0.357,0,2,0.0,3,4,0.75,2,4,6,7,2,0,2,2,13,Mateen Cleaves,"$2,969,000"
2044,2004-05,00,1610612737,ATL,27.0,70,44,944.0,174,376,0.463,6,14,0.429,48,71,0.676,84,100,184,18,15,13,63,147,402,Jason Collier,"$2,949,000"
2204,2004-05,00,1610612750,MIN,23.0,70,0,1492.0,202,522,0.387,67,204,0.328,56,78,0.718,128,325,453,53,23,118,55,120,527,Eddie Griffin,"$2,937,000"
2045,2004-05,00,1610612753,ORL,26.0,67,11,1761.0,328,782,0.419,93,245,0.38,188,225,0.836,62,171,233,153,41,18,119,140,937,Hedo Turkoglu,"$2,803,000"
2205,2004-05,00,1610612739,CLE,23.0,39,0,305.0,20,69,0.29,0,2,0.0,0,5,0.0,30,40,70,15,8,27,12,53,40,DeSagana Diop,"$2,695,000"
2046,2004-05,00,1610612749,MIL,27.0,80,71,2893.0,478,1079,0.443,1,8,0.125,420,524,0.802,85,227,312,217,58,27,164,198,1377,Desmond Mason,"$2,680,000"
2047,2004-05,00,1610612756,PHX,25.0,79,78,2839.0,407,1045,0.389,226,631,0.358,136,184,0.739,91,388,479,158,96,27,102,197,1176,Quentin Richardson,"$2,562,000"
2048,2004-05,00,1610612740,NOH,27.0,23,22,703.0,98,227,0.432,0,0,0.0,74,123,0.602,79,126,205,29,8,23,59,74,270,Jamaal Magloire,"$2,474,000"
